"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","mgi_symbol"
"1","ENSMUSG00000000049",45.4415419792631,3.70321110702381,0.813947065503351,4.54969526148941,5.37236615405182e-06,0.000463355101372111,11818,"Apoh"
"2","ENSMUSG00000000078",2704.65029023715,-0.302792237873042,0.149403484308271,-2.02667454025555,0.0426957078599931,0.254769827570846,23849,"Klf6"
"3","ENSMUSG00000000088",8939.40291454402,-0.180799874425569,0.0837499462109276,-2.15880585726249,0.0308652318921064,0.212166931214745,12858,"Cox5a"
"4","ENSMUSG00000000125",5.63935154858161,-2.57647092661348,0.985102978801321,-2.61543308878077,0.00891143797590342,0.101495847195081,22415,"Wnt3"
"5","ENSMUSG00000000126",716.618309486028,0.356985874634427,0.132525404714838,2.69371653987832,0.00706602298148653,0.0874349943668677,216795,"Wnt9a"
"6","ENSMUSG00000000142",365.95102689064,0.528898690561808,0.147626770283091,3.58267467037031,0.000340094060224849,0.0114587284197962,12006,"Axin2"
"7","ENSMUSG00000000154",22.487515184791,1.40507158335471,0.451468995089193,3.11222165561363,0.00185685023890628,0.0357244533094438,18400,"Slc22a18"
"8","ENSMUSG00000000171",6037.51049063399,-0.214759833423458,0.0867603809412459,-2.47532146693655,0.0133116297411403,0.129597352356823,66925,"Sdhd"
"9","ENSMUSG00000000183",293.161243600616,0.672485802261532,0.215283932550448,3.12371571020028,0.00178582910512485,0.034755644165506,NA,"Fgf6"
"10","ENSMUSG00000000197",24.5133265901404,0.709686636466914,0.333162460499752,2.13015186465596,0.0331590775914794,0.220209445196195,338370,"Nalcn"
"11","ENSMUSG00000000248",3.37908431021561,-3.22778559617243,1.4658054389527,-2.20205595531058,0.027661356166196,0.199878800625194,70809,"Clec2g"
"12","ENSMUSG00000000308",9.62881150506257,-3.4469557647839,1.20594419432209,-2.85830453930877,0.00425911413332083,0.0621271134600406,12716,"Ckmt1"
"13","ENSMUSG00000000318",230.999940927892,1.0323820986889,0.381788961584337,2.70406481739218,0.00684969263971865,0.0857039658120283,17312,"Clec10a"
"14","ENSMUSG00000000355",812.991253263821,-0.169763661948393,0.057928695067779,-2.93056250878363,0.00338348913963562,0.0531916879428724,NA,"Mcts1"
"15","ENSMUSG00000000399",5486.80780173074,-0.209790351833544,0.0733161365599878,-2.86144853884781,0.0042170995953048,0.0615843010364989,66108,"Ndufa9"
"16","ENSMUSG00000000409",45.7678939048595,-3.25499290667973,1.20370293176578,-2.70414968741898,0.00684794331187876,0.0857039658120283,16818,"Lck"
"17","ENSMUSG00000000538",7083.72685490112,0.148804928313601,0.0736220695841917,2.0212000172507,0.0432590639349916,0.25700748552723,216810,"Tom1l2"
"18","ENSMUSG00000000552",1017.48803850535,-0.527141165913889,0.204342619855744,-2.57969270574111,0.0098888267571939,0.107955657757191,29813,"Zfp385a"
"19","ENSMUSG00000000567",169.426357528183,0.666153249120606,0.284659727407917,2.34017384610929,0.0192747654938757,0.162831024360569,20682,"Sox9"
"20","ENSMUSG00000000632",14.7075646433736,1.18320545638524,0.406532703690926,2.9104803762228,0.00360873627714119,0.0556390493088339,20370,"Sez6"
"21","ENSMUSG00000000782",102.288038937715,-2.02231436845246,0.81854297968463,-2.47062697823347,0.0134876426037344,0.130617851741156,21414,"Tcf7"
"22","ENSMUSG00000000794",312.028772893286,1.08269766011861,0.307251568126468,3.52381492052454,0.000425381265553856,0.0132077610790891,NA,"Kcnn3"
"23","ENSMUSG00000000861",26.4193748368365,-2.86081505448301,1.13680713275049,-2.51653510262671,0.0118515093817698,0.120801597142867,14025,"Bcl11a"
"24","ENSMUSG00000000881",144.713037306793,0.504711089985258,0.14643698470773,3.44660941354806,0.000567668645805835,0.0159563908212442,53310,"Dlg3"
"25","ENSMUSG00000000901",150.271122946362,0.740914293695897,0.262889813231233,2.81834539189315,0.00482718524080111,0.0676073924565218,17385,"Mmp11"
"26","ENSMUSG00000000915",697.199772674875,0.392979954770519,0.163433994754925,2.40451783216708,0.0161938161361893,0.146164399490417,29816,"Hip1r"
"27","ENSMUSG00000000957",580.788608354648,0.717409894272926,0.256264115811925,2.7994941546925,0.00511827432239684,0.0705099060577564,NA,"Mmp14"
"28","ENSMUSG00000000959",2891.35974886209,-0.124193531973161,0.0589330129128421,-2.10736776951883,0.0350857131407632,0.227731090357893,69089,"Oxa1l"
"29","ENSMUSG00000001065",308.75637869598,-0.325943078385697,0.121749978333354,-2.67715101758177,0.0074251159150087,0.0907654084777139,57247,"Zfp276"
"30","ENSMUSG00000001089",972.291149318451,-0.294702058945872,0.109293245853303,-2.69643431892793,0.00700862178833092,0.0870424638123511,269593,"Luzp1"
"31","ENSMUSG00000001105",425.551860617545,-0.223708701414417,0.102713315787747,-2.17799123413271,0.0294066893738451,0.20650167186602,55978,"Ift20"
"32","ENSMUSG00000001120",129.393770554182,-0.286934120674511,0.14159495364549,-2.02644312729467,0.0427193952330753,0.254776251357543,59093,"Pcbp3"
"33","ENSMUSG00000001127",3148.60462781743,-0.140141296529283,0.0604858129372555,-2.31692837913343,0.0205076335496983,0.168832989411751,11836,"Araf"
"34","ENSMUSG00000001155",8.74835728981133,4.06059985058432,1.18225666204798,3.43461786339211,0.000593389960247056,0.016450269474871,14317,"Ftcd"
"35","ENSMUSG00000001240",830.924456430342,-0.423386901271011,0.140179327862359,-3.0203233795409,0.00252504929699427,0.0438181813516237,NA,"Ramp2"
"36","ENSMUSG00000001300",382.030989541891,0.304626990193503,0.116464537554097,2.61562014147016,0.00890655815139785,0.101495847195081,13642,"Efnb2"
"37","ENSMUSG00000001333",1177.27207288376,0.560480933169184,0.137471978531863,4.07705584188764,4.56095420080907e-05,0.00249455766072436,68828,"Sync"
"38","ENSMUSG00000001420",119.274624783836,-0.347839038845134,0.167221737857953,-2.0801065896146,0.0375157573246951,0.236385580495472,71913,"Tmem79"
"39","ENSMUSG00000001506",6205.80171702342,-1.15813224360107,0.424936589349882,-2.72542368114949,0.00642190211437724,0.0824995725476522,12842,"Col1a1"
"40","ENSMUSG00000001507",503.170794222934,-0.281383746408278,0.10106313481752,-2.78423726828132,0.00536537694272378,0.0729966040179437,16400,"Itga3"
"41","ENSMUSG00000001521",512.269326793303,0.48075268779316,0.143959288970123,3.33950446152129,0.000839280028156736,0.0209115426274805,22158,"Tulp3"
"42","ENSMUSG00000001542",2191.56619729975,-1.22479392546217,0.159499150845103,-7.67899966220906,1.60335658660762e-14,3.23589426309149e-11,NA,"Ell2"
"43","ENSMUSG00000001588",81.1205775074422,-2.43427775892894,1.00254245644458,-2.4281044092256,0.0151779730788991,0.140333103685884,216859,"Acap1"
"44","ENSMUSG00000001663",262.201079710982,0.843098084300922,0.285254053891872,2.95560421595448,0.00312057250979446,0.0503432409214003,14871,"Gstt1"
"45","ENSMUSG00000001665",98.8418300757472,0.690244047561701,0.237726618590029,2.90352023536775,0.00368993124623248,0.0565453245341411,103140,"Gstt3"
"46","ENSMUSG00000001670",45.769717969894,7.36600809016083,1.5737619769305,4.68050963114998,2.8616266686655e-06,0.000281723655741499,234724,"Tat"
"47","ENSMUSG00000001773",17.2471078790828,1.61353869392385,0.673039882767288,2.39738941961298,0.0165123642169947,0.14791501758872,53320,"Folh1"
"48","ENSMUSG00000001783",1562.73042425389,-0.177944137022511,0.0577261190408839,-3.08255846710367,0.0020522941036807,0.038174561843764,28088,"Rtcb"
"49","ENSMUSG00000001802",596.562909416185,-0.248695110873263,0.124546589394312,-1.99680386337918,0.0458464937372891,0.265637476673595,435965,"Lrp3"
"50","ENSMUSG00000001833",5061.54868077578,0.121794301068083,0.0585096264010041,2.08161132722585,0.037377985926551,0.235898545152001,235072,"Sept7"
"51","ENSMUSG00000001864",448.942871443991,1.55525748315563,0.430619378830347,3.61167555296754,0.000304225033553988,0.0104717634618688,108897,"Aif1l"
"52","ENSMUSG00000001865",212.675564632407,1.37677961592151,0.432926373430993,3.18017034862155,0.00147188499475621,0.0308743765790199,12873,"Cpa3"
"53","ENSMUSG00000001870",669.114297228657,0.302389610216164,0.140421222433221,2.15344664414931,0.0312835931219533,0.213454106800985,268977,"Ltbp1"
"54","ENSMUSG00000001891",38391.2780951471,0.336462367796893,0.153520100567499,2.19165025656663,0.0284047701111302,0.202638766483857,216558,"Ugp2"
"55","ENSMUSG00000001946",1104.06258941578,-0.30118202288011,0.113795265056791,-2.64670083355227,0.00812812249020368,0.0963251721064538,69524,"Esam"
"56","ENSMUSG00000001985",22.2843189473669,1.33507852424631,0.425433301881541,3.13816177140278,0.00170011018570567,0.033638639404966,14807,"Grik3"
"57","ENSMUSG00000001995",459.706026207548,-0.435207535604698,0.154087172581051,-2.82442417700782,0.00473656537566752,0.0666155835621756,244668,"Sipa1l2"
"58","ENSMUSG00000002007",1897.07858260691,0.424755592886633,0.0790014731932001,5.37655281247582,7.5925435654575e-08,1.60978280354787e-05,56504,"Srpk3"
"59","ENSMUSG00000002033",30.9242586199229,-2.76703154733984,1.19633430582482,-2.3129250192588,0.0207267619811733,0.170043703375626,12502,"Cd3g"
"60","ENSMUSG00000002052",3300.51027906519,0.195409637345869,0.0746749099874254,2.61680445786643,0.00887571710133713,0.101255191863313,20926,"Supt6"
"61","ENSMUSG00000002058",232.772733451346,0.423490800121964,0.202024521406496,2.09623464109019,0.036061381398913,0.231044698219956,22248,"Unc119"
"62","ENSMUSG00000002076",27.4924518509038,1.79548861205998,0.494964400392943,3.62751060608516,0.000286167023445328,0.0100093983833165,74377,"Hsf2bp"
"63","ENSMUSG00000002083",116.315970105266,0.613083503820331,0.252515094289141,2.42790834166263,0.0151861806783257,0.140333103685884,170770,"Bbc3"
"64","ENSMUSG00000002308",373.843793688986,-0.220414572868522,0.0996898016194898,-2.21100422799347,0.027035544277686,0.197580007570697,54219,"Cd320"
"65","ENSMUSG00000002346",2181.97034750328,-0.244716859726092,0.103618820952225,-2.36170280145267,0.0181912191029457,0.157096783883462,73095,"Slc25a42"
"66","ENSMUSG00000002395",1604.63908932239,0.189108364473525,0.0731076477426424,2.58671110769745,0.00968967939292632,0.106814678313775,67023,"Use1"
"67","ENSMUSG00000002475",36.0476815422075,0.786636107203595,0.302387387070537,2.60141838197801,0.00928391534395501,0.104209109828532,106861,"Abhd3"
"68","ENSMUSG00000002500",19068.2178431193,-0.175324117644913,0.0713308642069231,-2.45789981089135,0.0139752155888904,0.133516959990453,66211,"Rpl3l"
"69","ENSMUSG00000002504",1798.38250387541,-0.645359518529212,0.118215635378426,-5.45917226992283,4.7835944898159e-08,1.13579416462899e-05,65962,"Slc9a3r2"
